DATE,CATEGORY,NAME,UNITS,PROFIT,TOTAL_PRICESELL
2016-05-31,Bananas,Banana Cavendish,956.5160000000004,-9.56516,1903.4668399999994
2016-05-31,Berries,Berries Strawberry (large),56.0,26.319999999999983,212.80000000000013
2016-05-31,Bunch Vegies,Onion spring,310.0,279.0000000000006,465.0
2016-05-31,Cabbages,Cabbage Wombok,30.0,-67.5,45.0
2016-05-31,Chillies,chilli yellow long,12.603999999999996,50.41599999999998,88.22799999999998
2016-05-31,Citrus,Mandarin Imperial,605.3959999999998,908.0939999999991,1513.4899999999975
2016-05-31,Cucumbers,Cucumber continental,273.0,409.5,409.5
2016-05-31,Cut Fruits,Rockmelon Half,2.0,0.0,2.0
2016-05-31,Cut Veggies,cabbage half,77.0,231.0,231.0
2016-05-31,Eggs,Eggs 700g,116.0,58.0,371.19999999999936
2016-05-31,Fruits,Figs 370g pak,14.0,14.0,56.0
2016-05-31,Grapes,Grapes black,187.07,746.4092999999999,746.4092999999999
2016-05-31,Groceries-Dry Goods,Monsoon Basmathi 5kg,6.0,59.940000000000005,59.940000000000005
2016-05-31,Herbs,Coriander,96.0,191.04000000000008,191.04000000000008
2016-05-31,Kalamata olives,Pasta Long,4.0,6.0,20.0
2016-05-31,Lettuces,Lettuce Iceberg,193.0,482.5,482.5
2016-05-31,Melons,Watermelon seedless,440.4080000000001,215.7999200000001,656.2079200000004
2016-05-31,Multi buy,kiwifruit multibuy 5 for $2,105.0,169.05000000000032,210.0
2016-05-31,Mushrooms,Mushroom Cup,49.580000000000005,197.82420000000005,445.72420000000034
2016-05-31,Nuts,Walnuts in shell,30.012,59.723880000000015,359.84388000000007
2016-05-31,Olympian Products,Sweetloaf,40.0,42.0,192.00000000000006
2016-05-31,Onions,onion brown 2kg Small,118.0,188.7999999999996,306.80000000000007
2016-05-31,Other Fruits,Persimmons,275.686,248.11740000000006,248.11740000000006
2016-05-31,Other Vegies,Cauliflower,205.0,202.95000000000044,612.9500000000013
2016-05-31,Pears,Pear Packham,238.39,236.00610000000003,712.7861
2016-05-31,Potatoes,Potato brushed,224.0779999999999,56.019499999999965,560.195
2016-05-31,Pumpkins,Pumpkin Butternut,480.0760000000002,955.35124,955.35124
2016-05-31,Root Vegies,Beetroot,25.08,74.98919999999998,74.98919999999998
2016-05-31,Sri Lankan Groceries,Chocolate Biscuit 200g,4.0,3.5999999999999996,8.0
2016-05-31,Stonefruits,Plums Angelino,21.778,43.556,87.112
2016-05-31,Tomatoes,Field Tomatoes,378.8919999999999,526.6598799999995,1132.8870800000002
2016-05-31,Tropical Fruits,Pineapple sweet Large,107.0,321.0,535.0
2016-05-31,Veggies,Kalamata Olives,32.988,16.494000000000003,164.94000000000003
2016-05-31,capsicum,Capsicum red,81.624,407.30376000000007,407.30376000000007
2016-05-31,carrots,Carrots 1kg,209.0,144.2099999999997,311.4100000000007
2016-05-31,coconut Products,Premium 5k Pattu,8.0,23.040000000000013,108.0
2016-05-31,trutaste,Almonds Natural 500g,4.0,8.96,39.96
2016-06-30,Apples,Apples Fuji,303.11200000000014,1209.4168800000002,1209.4168800000002
2016-06-30,Asian Vegies,Pak choy,53.0,37.1,63.600000000000044
2016-06-30,Avocadoes,Avocado Hass Medium,301.0,-304.00999999999954,598.9900000000011
2016-06-30,Bananas,Banana Cavendish,1004.0940000000003,-10.040939999999996,1998.1470600000014
2016-06-30,Berries,Berries Strawberry (large),36.0,16.920000000000005,136.79999999999995
2016-06-30,Bunch Vegies,Onion spring,295.0,265.50000000000074,442.5
2016-06-30,Cabbages,Cabbage green,44.0,219.56000000000014,219.56000000000014
2016-06-30,Chillies,chilli yellow long,15.819999999999999,63.279999999999994,110.74000000000002
2016-06-30,Citrus,Mandarin Imperial,696.836,1045.253999999999,1742.0900000000015
2016-06-30,Cucumbers,Cucumber continental,267.0,400.5,400.5
2016-06-30,Cut Fruits,Rockmelon Half,1.0,0.0,1.0
2016-06-30,Cut Veggies,cabbage half,74.0,222.0,222.0
2016-06-30,Eggs,Eggs 700g,148.0,74.0,473.599999999999
2016-06-30,Flowers,Bunch Roses,1.0,1.0,9.0
2016-06-30,Grapes,Crimson Grapes,161.56200000000007,806.1943800000003,806.1943800000003
2016-06-30,Groceries-Dry Goods,Chick Peas 400g,7.0,2.6599999999999997,9.030000000000001
2016-06-30,Herbs,Coriander,115.0,228.85000000000016,228.85000000000016
2016-06-30,Kalamata olives,Pasta,8.0,12.0,40.0
2016-06-30,Lettuces,Lettuce Iceberg,122.0,305.0,305.0
2016-06-30,Melons,Watermelon seedless,266.809,130.73640999999998,397.54541
2016-06-30,Multi buy,Pac choy 3 for $2.,83.0,16.599999999999973,166.0
2016-06-30,Mushrooms,Mushroom Cup,42.854000000000006,170.98745999999994,385.2574600000001
2016-06-30,Nuts,Walnuts in shell,38.07999999999999,75.77919999999997,456.5792
2016-06-30,Olympian Products,Sweetloaf,36.0,37.80000000000001,172.79999999999998
2016-06-30,Onions,onion brown 2kg Small,107.0,171.19999999999968,278.1999999999998
2016-06-30,Other Fruits,kiwi fruit Gold ,160.0,207.99999999999997,288.0
2016-06-30,Other Vegies,Leek,171.0,171.0,342.0
2016-06-30,Pastas,Passata 700g,79.0,38.70999999999998,117.70999999999987
2016-06-30,Pears,Pear Packham,243.87999999999994,241.44120000000004,729.2012000000002
2016-06-30,Potatoes,Potato sweet Gold,239.93200000000002,717.3966799999997,717.3966799999997
2016-06-30,Pumpkins,Pumpkin Japanese/Kent,295.68800000000005,588.4191199999999,588.4191199999999
2016-06-30,Root Vegies,Beetroot,26.704000000000008,79.84496000000001,79.84496000000001
2016-06-30,Sri Lankan Groceries,Derana Red Basmathi 1kg,7.0,7.630000000000001,27.930000000000007
2016-06-30,Stonefruits,peaches white,7.896,27.636,27.636
2016-06-30,Tomatoes,Field Tomatoes,293.4139999999998,407.8454600000001,877.3078600000002
2016-06-30,Tropical Fruits,Pineapple sweet Large,210.0,630.0,1050.0
2016-06-30,Veggies,Kalamata Olives,33.522999999999996,16.761499999999998,167.61499999999998
2016-06-30,capsicum,Capsicum red,115.21399999999994,574.9178599999998,574.9178599999998
2016-06-30,carrots,Carrots 1kg,179.0,123.50999999999978,266.71000000000055
2016-06-30,coconut Products,Desiccated Low Fat 400g,6.0,3.0599999999999996,10.739999999999998
2016-06-30,trutaste,Peanuts R & Salted 500g,10.0,16.3636363636364,45.363636363636395
2016-07-31,Apples,Apples Granny Smith,270.10600000000017,810.3180000000002,810.3180000000002
2016-07-31,Asian Vegies,Okra,65.85999999999999,108.01040000000005,657.9413999999998
2016-07-31,Avocadoes,Avocado Hass Medium,368.0,-371.6799999999989,732.3200000000019
2016-07-31,Bananas,Banana Cavendish,1552.3179999999968,-15.523180000000028,3089.112819999995
2016-07-31,Berries,Berries Strawberry (large),64.0,30.079999999999984,243.20000000000013
2016-07-31,Bunch Vegies,Onion spring,349.0,314.0999999999998,523.5
2016-07-31,Cabbages,Cabbage green,43.0,214.57000000000014,214.57000000000014
2016-07-31,Chillies,chilli yellow long,14.796000000000001,59.184000000000005,103.572
2016-07-31,Citrus,Mandarin Imperial,727.2100000000004,1090.8149999999987,1818.025000000002
2016-07-31,Cucumbers,Cucumber continental,273.0,409.5,409.5
2016-07-31,Cut Fruits,Rockmelon Half,1.0,0.0,1.0
2016-07-31,Cut Veggies,cabbage half,89.0,267.0,267.0
2016-07-31,Eggs,Eggs 700g,153.0,76.5,489.599999999999
2016-07-31,Flowers,Bunch Roses,5.0,5.0,45.0
2016-07-31,Grapes,Crimson Grapes,172.52199999999996,860.88478,860.88478
2016-07-31,Groceries-Dry Goods,Sanremo eggnoodless 1kg,20.0,24.80000000000001,70.0
2016-07-31,Herbs,Coriander,169.0,336.3100000000005,336.3100000000005
2016-07-31,Kalamata olives,Sweet Rusk ,18.0,18.0,108.0
2016-07-31,Lettuces,Lettuce Iceberg,190.0,475.0,475.0
2016-07-31,Melons,Watermelon seedless,360.7770000000001,176.78072999999998,537.5577300000004
2016-07-31,Multi buy,Pac choy 3 for $2.,114.0,22.79999999999995,228.0
2016-07-31,Mushrooms,Mushroom Cup,43.862,175.00938000000008,394.3193800000002
2016-07-31,Nuts,Walnuts in shell,36.29799999999999,72.23301999999998,435.21302000000003
2016-07-31,Olympian Products,Sweetloaf,39.0,40.949999999999996,187.20000000000007
2016-07-31,Onions,onion brown 2kg Small,126.0,201.59999999999957,327.6000000000002
2016-07-31,Other Fruits,kiwi fruit Gold ,269.0,349.7,484.20000000000016
2016-07-31,Other Vegies,Leek,259.0,259.0,518.0
2016-07-31,Pastas,Diced Tomatoes,77.0,23.86999999999998,76.22999999999998
2016-07-31,Pears,Pear Packham,202.404,200.37996000000012,605.1879600000002
2016-07-31,Potatoes,Potato brushed,173.10800000000003,43.277,432.7699999999999
2016-07-31,Pumpkins,Pumpkin Butternut,372.31199999999995,740.90088,740.90088
2016-07-31,Root Vegies,Beetroot,27.833999999999996,83.22366,83.22366
2016-07-31,Sri Lankan Groceries,Basil seed Mango Sharbath 290ml,9.0,7.363636363636381,16.363636363636378
2016-07-31,Tomatoes,Field Tomatoes,335.3900000000002,466.1920999999999,1002.8161
2016-07-31,Tropical Fruits,Pineapple sweet Large,198.0,594.0,990.0
2016-07-31,Veggies,Kalamata Olives,13.780000000000001,6.89,68.89999999999999
2016-07-31,capsicum,Capsicum red,120.16799999999999,599.6383199999999,599.6383199999999
2016-07-31,carrots,Carrots 1kg,187.0,129.02999999999972,278.63000000000056
2016-07-31,coconut Products,Brinjal Pickle 400g,1.0,1.25,5.2
2016-07-31,trutaste,Walnut Kernels LHP 500g,9.0,33.21,89.91
2016-08-31,Apples,Apples Fuji,261.1439999999998,1041.96456,1041.96456
2016-08-31,Asian Vegies,Radish white ,91.93599999999996,274.88864,274.88864
2016-08-31,Avocadoes,Avocado Hass Medium,292.0,-294.91999999999916,581.0800000000014
2016-08-31,Bananas,Banana Cavendish,1294.9460000000006,-12.949460000000016,2576.9425399999986
2016-08-31,Berries,Berries Strawberry (large),89.0,41.82999999999995,338.2000000000005
2016-08-31,Bunch Vegies,Onion spring,331.0,297.9000000000002,496.5
2016-08-31,Cabbages,Cabbage green,52.0,259.4800000000002,259.4800000000002
2016-08-31,Chillies,chilli yellow long,22.137999999999998,88.55199999999999,154.966
2016-08-31,Citrus,Orange navel,629.1659999999997,1881.206339999998,1881.206339999998
2016-08-31,Cucumbers,Cucumber continental,335.0,502.5,502.5
2016-08-31,Cut Veggies,cabbage half,78.0,234.0,234.0
2016-08-31,Eggs,Eggs 700g,181.0,90.5,579.1999999999997
2016-08-31,Flowers,Bunch Roses,25.0,25.0,225.0
2016-08-31,Grapes,Crimson Grapes,198.37799999999996,989.9062199999998,989.9062199999998
2016-08-31,Groceries-Dry Goods,Chick Peas 400g,20.0,7.6,25.800000000000004
2016-08-31,Herbs,Coriander,169.0,336.3100000000007,336.3100000000007
2016-08-31,Kalamata olives,Sweet Rusk ,20.0,20.0,120.0
2016-08-31,Lettuces,Lettuce Iceberg,257.0,642.5,642.5
2016-08-31,Melons,Watermelon seedless,476.74299999999994,233.60407000000004,710.3470700000003
2016-08-31,Multi buy,kiwifruit multibuy 5 for $2,297.0,478.1700000000029,594.0
2016-08-31,Mushrooms,Mushroom Cup,52.912000000000006,211.11888000000002,475.6788800000003
2016-08-31,Nuts,Walnuts in shell,21.465999999999998,42.71733999999999,257.37734
2016-08-31,Olympian Products,Sweetloaf,39.0,40.949999999999996,187.20000000000007
2016-08-31,Onions,Onion brown,122.68800000000005,244.14911999999987,244.14911999999987
2016-08-31,Other Fruits,kiwi fruit Gold ,192.0,249.59999999999997,345.60000000000014
2016-08-31,Other Vegies,Leek,312.0,312.0,624.0
2016-08-31,Pastas,Passata 700g,82.0,40.179999999999986,122.1799999999999
2016-08-31,Pears,Pear Packham,260.04400000000004,257.44356000000016,777.5315599999999
2016-08-31,Potatoes,Potato sweet Gold,177.61399999999995,531.0658599999997,531.0658599999997
2016-08-31,Pumpkins,Pumpkin Japanese/Kent,359.3959999999999,715.1980399999993,715.1980399999993
2016-08-31,Root Vegies,Parsnip,29.632000000000012,148.15999999999997,148.15999999999997
2016-08-31,Sri Lankan Groceries,Masoor Dhal 1Kg,11.0,13.640000000000002,49.390000000000015
2016-08-31,Tomatoes,Field Tomatoes,449.764,625.17196,1344.7943600000003
2016-08-31,Tropical Fruits,Pineapple sweet Large,113.0,339.0,565.0
2016-08-31,Veggies,Kalamata Olives,9.29,4.645,46.45
2016-08-31,capsicum,Capsicum red,134.50400000000008,671.1749600000003,671.1749600000003
2016-08-31,carrots,Carrots 1kg,185.0,127.64999999999974,275.65000000000066
2016-08-31,coconut Products,Brinjal Pickle 400g,1.0,1.25,5.2
2016-08-31,trutaste,Kist Chilli Paste325g,11.0,9.85000000000005,59.90000000000005
2016-09-30,Apples,Apples Royal Gala,229.11999999999986,687.36,687.36
2016-09-30,Asian Vegies,Radish white ,57.853999999999985,172.98346,172.98346
2016-09-30,Avocadoes,Avocado Hass Large,70.0,70.0,175.0
2016-09-30,Bananas,Banana Cavendish,1423.7360000000024,-14.237360000000006,2833.234639999999
2016-09-30,Berries,Berries Strawberry (large),181.0,85.06999999999987,687.7999999999996
2016-09-30,Bunch Vegies,Onion spring,252.0,226.8000000000008,378.0
2016-09-30,Cabbages,Cabbage green,44.0,219.56000000000012,219.56000000000012
2016-09-30,Chillies,Chilli Red Long bullhorn,10.549999999999999,26.269500000000004,63.1945
2016-09-30,Citrus,Orange navel,547.6220000000001,1637.3897799999997,1637.3897799999997
2016-09-30,Cucumbers,Cucumber continental,321.0,481.5,481.5
2016-09-30,Cut Fruits,Rockmelon Half,5.0,0.0,5.0
2016-09-30,Cut Veggies,Celery half,144.0,273.6000000000003,273.6000000000003
2016-09-30,Eggs,Eggs 700g,135.0,67.5,431.9999999999994
2016-09-30,Flowers,Bunch Roses,16.0,16.0,144.0
2016-09-30,Fruits,Kensington Pride Mango,63.0,126.0,126.0
2016-09-30,Grapes,Grapes black,153.786,613.6061400000001,613.6061400000001
2016-09-30,Groceries-Dry Goods,Chick Peas 400g,30.0,11.400000000000002,38.699999999999996
2016-09-30,Herbs,Coriander,150.0,298.50000000000057,298.50000000000057
2016-09-30,Kalamata olives,Sweet Rusk ,16.0,16.0,96.0
2016-09-30,Lettuces,Lettuce Iceberg,233.0,582.5,582.5
2016-09-30,Melons,Watermelon seedless,586.47,287.37029999999993,873.8402999999996
2016-09-30,Multi buy,kiwifruit multibuy 5 for $2,264.0,425.04000000000246,528.0
2016-09-30,Mushrooms,Mushroom Cup,46.10599999999995,183.96294000000003,414.4929400000002
2016-09-30,Nuts,Walnuts in shell,21.140000000000004,42.068599999999996,253.46859999999992
2016-09-30,Olympian Products,Sweetloaf,30.0,31.500000000000007,144.0
2016-09-30,Onions,Onion brown,133.40399999999994,265.4739599999999,265.4739599999999
2016-09-30,Other Fruits,kiwi fruit Gold ,251.0,326.30000000000007,451.8000000000002
2016-09-30,Other Vegies,Leek,206.0,206.0,412.0
2016-09-30,Pastas,Passata 700g,62.0,30.379999999999974,92.37999999999992
2016-09-30,Pears,Pear Packham,264.4619999999998,261.8173800000002,790.74138
2016-09-30,Potatoes,Potato washed,159.84799999999998,477.94552000000004,477.94552000000004
2016-09-30,Pumpkins,Pumpkin Japanese/Kent,259.6459999999999,516.6955399999997,516.6955399999997
2016-09-30,Root Vegies,Beetroot,37.66599999999999,112.62134000000003,112.62134000000003
2016-09-30,Sri Lankan Groceries,Gold Marie 2for2.50,15.0,9.490909090909055,34.09090909090905
2016-09-30,Tomatoes,Field Tomatoes,379.794,527.9136599999998,1135.5840600000001
2016-09-30,Tropical Fruits,Pineapple sweet Large,217.0,651.0,1085.0
2016-09-30,Veggies,Beans Snake,7.852000000000001,39.18148000000001,70.58948
2016-09-30,capsicum,Capsicum red,112.7380000000001,562.5626200000002,562.5626200000002
2016-09-30,carrots,Carrots 1kg,173.0,119.36999999999975,257.7700000000005
2016-09-30,coconut Products,Chick Peas 1kg Pattu,2.0,3.58,7.98
2016-09-30,markdown bag,Mark down Bag ***,40.0,40.0,40.0
2016-09-30,trutaste,Walnut Kernels LHP 500g,7.0,25.830000000000002,69.93
2016-10-31,Apples,Apples Pink Lady,361.04200000000003,1079.5155800000005,1079.5155800000005
2016-10-31,Asian Vegies,Radish white ,51.808,154.90591999999998,154.90591999999998
2016-10-31,Avocadoes,Avocado Hass Large,167.0,167.0,417.5
2016-10-31,Bananas,Banana Cavendish,1430.6559999999986,-14.306560000000033,2847.0054400000013
2016-10-31,Berries,Berries Strawberry (medium),345.0,862.5,862.5
2016-10-31,Bunch Vegies,Onion spring,290.0,261.00000000000085,435.0
2016-10-31,Cabbages,Cabbage Drumhead small,65.0,97.5,97.5
2016-10-31,Chillies,chilli yellow long,15.082000000000004,60.32800000000002,105.57399999999998
2016-10-31,Citrus,Orange navel,336.772,1006.9482800000003,1006.9482800000003
2016-10-31,Cucumbers,Cucumber continental,427.0,640.5,640.5
2016-10-31,Cut Fruits,Rockmelon Half,86.0,0.0,86.0
2016-10-31,Cut Veggies,cabbage half,86.0,258.0,258.0
2016-10-31,Eggs,Eggs 700g,153.0,76.5,489.59999999999917
2016-10-31,Flowers,Bunch Roses,2.0,2.0,18.0
2016-10-31,Fruits,Kensington Pride Mango,61.078,122.15600000000002,122.15600000000002
2016-10-31,Grapes,Grapes black,180.80800000000008,721.4239200000002,721.4239200000002
2016-10-31,Groceries-Dry Goods,Chick Peas 400g,25.0,9.499999999999998,32.25
2016-10-31,Herbs,Coriander,139.0,276.6100000000005,276.6100000000005
2016-10-31,Kalamata olives,Sweet Rusk ,17.0,17.0,102.0
2016-10-31,Lettuces,Lettuce Iceberg,251.0,627.5,627.5
2016-10-31,Melons,Watermelon seedless,952.6280000000002,466.7877199999999,1419.4157200000009
2016-10-31,Multi buy,kiwifruit multibuy 5 for $2,187.0,301.0700000000014,374.0
2016-10-31,Mushrooms,Mushroom Cup,67.298,268.51902,605.0090200000001
2016-10-31,Nuts,Walnuts in shell,17.702,35.226980000000005,212.24698
2016-10-31,Olympian Products,Sweetloaf,33.0,34.650000000000006,158.4
2016-10-31,Onions,Onion brown,129.28400000000005,257.2751600000001,257.2751600000001
2016-10-31,Other Fruits,kiwi fruit Gold ,204.0,265.2,367.19999999999993
2016-10-31,Other Vegies,Leek,360.0,360.0,720.0
2016-10-31,Pastas,Passata 700g,52.0,25.479999999999993,77.47999999999998
2016-10-31,Pears,Pear Packham,440.03800000000007,435.63762000000014,1315.7136199999989
2016-10-31,Potatoes,Potato brushed,271.9160000000001,67.97900000000003,679.7899999999996
2016-10-31,Pumpkins,Pumpkin Japanese/Kent,154.48199999999997,307.4191800000001,307.4191800000001
2016-10-31,Root Vegies,Beetroot,33.416000000000004,99.91384000000001,99.91384000000001
2016-10-31,Sri Lankan Groceries,Royal Oven Baked Cashews 100g,10.0,4.7909090909091,29.0909090909091
2016-10-31,Stonefruits,peaches white,0.7040000000000001,2.4640000000000004,2.4640000000000004
2016-10-31,Tomatoes,Field Tomatoes,653.3480000000014,908.1537200000004,1953.5105200000003
2016-10-31,Tropical Fruits,Pineapple sweet Large,123.0,369.0,615.0
2016-10-31,Veggies,Witlof red,5.0,11.36363636363635,11.36363636363635
2016-10-31,capsicum,Capsicum red,88.19200000000001,440.07807999999966,440.07807999999966
2016-10-31,carrots,Carrots 1kg,222.0,153.1799999999997,330.7800000000008
2016-10-31,coconut Products,Premium 5k Pattu,5.0,14.400000000000006,67.5
2016-10-31,markdown bag,Mark down Bag ***,409.0,409.0,409.0
2016-10-31,trutaste,Colavita Olive Oil 500ml,16.0,23.84000000000001,103.83999999999997
2016-11-30,Apples,Apples Royal Gala,268.31199999999995,804.9359999999997,804.9359999999997
2016-11-30,Asian Vegies,Radish white ,80.68200000000002,241.23917999999998,241.23917999999998
2016-11-30,Avocadoes,Avocado Hass Medium,260.0,-262.5999999999995,517.4000000000011
2016-11-30,Bananas,Banana Cavendish,1776.308000000001,-17.76308000000003,3534.8529200000007
2016-11-30,Berries,Berries Strawberry (medium),389.0,972.5,972.5
2016-11-30,Bunch Vegies,Onion spring,280.0,252.00000000000105,420.0
2016-11-30,Cabbages,Cabbage green,31.0,154.69000000000003,154.69000000000003
2016-11-30,Chillies,Chilli Red Long bullhorn,11.936000000000005,29.720640000000007,71.49664
2016-11-30,Citrus,Orange navel,335.25400000000013,1002.4094599999995,1002.4094599999995
2016-11-30,Cucumbers,Cucumber continental,539.0,808.5,808.5
2016-11-30,Cut Veggies,cabbage half,85.0,255.0,255.0
2016-11-30,Eggs,Eggs 700g,151.0,75.5,483.1999999999991
2016-11-30,Fruits,Kensington Pride Mangoes large,396.0,1188.0,1188.0
2016-11-30,Grapes,Crimson Grapes,110.57800000000003,551.7842199999997,551.7842199999997
2016-11-30,Groceries-Dry Goods,Chick Peas 400g,26.0,9.879999999999999,33.540000000000006
2016-11-30,Herbs,Coriander,128.0,254.72000000000043,254.72000000000043
2016-11-30,Kalamata olives,Sweet Rusk ,17.0,17.0,102.0
2016-11-30,Lettuces,Lettuce Iceberg,292.0,730.0,730.0
2016-11-30,Melons,Watermelon seedless,1320.6680000000003,647.1273199999996,1967.7953199999995
2016-11-30,Multi buy,Pac choy 3 for $2.,155.0,30.999999999999922,310.0
2016-11-30,Mushrooms,Mushroom Cup,54.02599999999997,215.56374000000008,485.69374000000045
